Time [s], Analyzer Name, Decoded Protocol Result
4.674253958333333,ch 1 - async serial,0x03
4.674341125000000,ch 1 - async serial,0x06
4.674428250000000,ch 1 - async serial,0x00
4.674515333333333,ch 1 - async serial,0x40
4.674602416666667,ch 1 - async serial,0x0D
4.674689541666667,ch 1 - async serial,0x02
4.674776666666666,ch 1 - async serial,0x00
4.674863791666667,ch 1 - async serial,0x33
4.674950875000000,ch 1 - async serial,0x2D
4.675038000000000,ch 1 - async serial,0x00
4.675125166666667,ch 1 - async serial,0x00
4.675212291666667,ch 1 - async serial,0xFC
4.675299416666666,ch 1 - async serial,0xFF
4.675386500000000,ch 1 - async serial,0xFF
4.675473541666666,ch 1 - async serial,0xFF
4.675560625000000,ch 1 - async serial,0xA8
4.675647750000000,ch 1 - async serial,0x0E
4.675734875000000,ch 1 - async serial,0x00
4.675821958333334,ch 1 - async serial,0x00
4.675909083333333,ch 1 - async serial,0xCE
4.675996208333333,ch 1 - async serial,0x07
4.676083333333334,ch 1 - async serial,0x00
4.676170458333333,ch 1 - async serial,0x00
4.676257541666667,ch 1 - async serial,0x02
4.676344666666667,ch 1 - async serial,0x01
4.676431750000000,ch 1 - async serial,0x03
4.676518875000000,ch 1 - async serial,0x36
4.676606000000000,ch 1 - async serial,0x00
4.676693125000000,ch 1 - async serial,0x00
4.676780291666667,ch 1 - async serial,0x00
4.676867416666667,ch 1 - async serial,0x00
4.676954541666666,ch 1 - async serial,0x00
4.677041625000000,ch 1 - async serial,0x00
4.677128750000000,ch 1 - async serial,0x00
4.677215833333333,ch 1 - async serial,0x00
4.677302958333334,ch 1 - async serial,0x10
4.677390041666666,ch 1 - async serial,0x01
4.677477166666667,ch 1 - async serial,0x53
4.677564291666667,ch 1 - async serial,0x62
4.678030083333334,ch 1 - async serial,0x55
4.678117250000000,ch 1 - async serial,0x2C
4.678204416666667,ch 1 - async serial,0x04
4.678291500000000,ch 1 - async serial,0x36
4.678378666666666,ch 1 - async serial,0x0B
4.678465791666667,ch 1 - async serial,0x09
4.678552875000000,ch 1 - async serial,0x07
4.678639958333333,ch 1 - async serial,0x00
4.678727125000000,ch 1 - async serial,0x00
4.678814208333334,ch 1 - async serial,0x0D
4.678901375000000,ch 1 - async serial,0x02
4.678988500000000,ch 1 - async serial,0x00
4.679075625000000,ch 1 - async serial,0x33
4.679162750000000,ch 1 - async serial,0x2D
4.679249833333333,ch 1 - async serial,0x00
4.679336916666666,ch 1 - async serial,0x00
4.679424083333333,ch 1 - async serial,0xFC
4.679511166666667,ch 1 - async serial,0xFF
4.679598291666666,ch 1 - async serial,0xFF
4.679685375000000,ch 1 - async serial,0xFF
4.679772458333334,ch 1 - async serial,0xA8
4.679859541666667,ch 1 - async serial,0x0E
4.679946708333333,ch 1 - async serial,0x00
4.680033833333333,ch 1 - async serial,0x00
4.680120916666667,ch 1 - async serial,0xCE
4.680208041666667,ch 1 - async serial,0x07
4.680295166666666,ch 1 - async serial,0x00
4.680382250000000,ch 1 - async serial,0x00
4.680469375000000,ch 1 - async serial,0x02
4.680556500000000,ch 1 - async serial,0x01
4.680643583333334,ch 1 - async serial,0x03
4.680730666666666,ch 1 - async serial,0x36
4.680817791666667,ch 1 - async serial,0x00
4.680904875000000,ch 1 - async serial,0x00
4.680991958333333,ch 1 - async serial,0x00
4.681079125000000,ch 1 - async serial,0x00
4.681166250000000,ch 1 - async serial,0x00
4.681253333333333,ch 1 - async serial,0x00
4.681340416666667,ch 1 - async serial,0x00
4.681427541666666,ch 1 - async serial,0x00
4.681514625000000,ch 1 - async serial,0x10
4.681601750000000,ch 1 - async serial,0x01
4.681688875000000,ch 1 - async serial,0x0A
4.681775958333334,ch 1 - async serial,0x9E
4.681986208333333,ch 1 - async serial,0x55
4.682073375000000,ch 1 - async serial,0x15
4.682160500000000,ch 1 - async serial,0x04
4.682247583333333,ch 1 - async serial,0xA9
4.682334666666667,ch 1 - async serial,0x0B
4.682421791666667,ch 1 - async serial,0x09
4.682508916666666,ch 1 - async serial,0x08
4.682596000000000,ch 1 - async serial,0x00
4.682683083333333,ch 1 - async serial,0x00
4.682770208333333,ch 1 - async serial,0x0D
4.682857333333334,ch 1 - async serial,0x03
4.682944458333333,ch 1 - async serial,0x00
4.683031541666667,ch 1 - async serial,0x03
4.683118666666667,ch 1 - async serial,0x28
4.683205708333333,ch 1 - async serial,0x0F
4.683292833333334,ch 1 - async serial,0x28
4.683379875000000,ch 1 - async serial,0x0F
4.683467000000000,ch 1 - async serial,0x29
4.683554166666666,ch 1 - async serial,0x0F
4.683641250000000,ch 1 - async serial,0x0B
4.683728375000000,ch 1 - async serial,0xA9
5.673096333333334,ch 1 - async serial,0x55
5.673183458333333,ch 1 - async serial,0x2C
5.673270541666667,ch 1 - async serial,0x04
5.673357708333334,ch 1 - async serial,0x36
5.673444833333333,ch 1 - async serial,0x0B
5.673531916666667,ch 1 - async serial,0x03
5.673619041666667,ch 1 - async serial,0x09
5.673706125000000,ch 1 - async serial,0x00
5.673793208333334,ch 1 - async serial,0x40
5.673880291666666,ch 1 - async serial,0x0D
5.673967416666667,ch 1 - async serial,0x02
5.674054583333334,ch 1 - async serial,0x00
5.674141708333333,ch 1 - async serial,0x5E
5.674228833333333,ch 1 - async serial,0x2D
5.674315958333334,ch 1 - async serial,0x00
5.674403041666666,ch 1 - async serial,0x00
5.674490166666667,ch 1 - async serial,0x84
5.674577250000000,ch 1 - async serial,0xFE
5.674664416666666,ch 1 - async serial,0xFF
5.674751541666667,ch 1 - async serial,0xFF
5.674838625000000,ch 1 - async serial,0xA8
5.674925708333333,ch 1 - async serial,0x0E
5.675012833333334,ch 1 - async serial,0x00
5.675099958333333,ch 1 - async serial,0x00
5.675187041666667,ch 1 - async serial,0xCE
5.675274208333334,ch 1 - async serial,0x07
5.675361333333333,ch 1 - async serial,0x00
5.675448500000000,ch 1 - async serial,0x00
5.675535666666667,ch 1 - async serial,0x02
5.675622833333334,ch 1 - async serial,0x01
5.675710000000000,ch 1 - async serial,0x03
5.675797125000000,ch 1 - async serial,0x36
5.675884208333334,ch 1 - async serial,0x00
5.675971291666666,ch 1 - async serial,0x00
5.676058416666667,ch 1 - async serial,0x00
5.676145541666667,ch 1 - async serial,0x00
5.676232708333333,ch 1 - async serial,0x00
5.676319833333333,ch 1 - async serial,0x00
5.676406958333334,ch 1 - async serial,0x00
5.676494125000000,ch 1 - async serial,0x00
5.676581250000000,ch 1 - async serial,0x10
5.676668416666667,ch 1 - async serial,0x01
5.676755541666667,ch 1 - async serial,0xB0
5.676842625000000,ch 1 - async serial,0xD4
5.677295750000000,ch 1 - async serial,0x55
5.677382916666667,ch 1 - async serial,0x2C
5.677470041666667,ch 1 - async serial,0x04
5.677557166666666,ch 1 - async serial,0x36
5.677644333333333,ch 1 - async serial,0x0B
5.677731500000000,ch 1 - async serial,0x09
5.677818625000000,ch 1 - async serial,0x0A
5.677905750000000,ch 1 - async serial,0x00
5.677992875000000,ch 1 - async serial,0x00
5.678080041666667,ch 1 - async serial,0x0D
5.678167125000000,ch 1 - async serial,0x02
5.678254250000000,ch 1 - async serial,0x00
5.678341375000000,ch 1 - async serial,0x5E
5.678428500000000,ch 1 - async serial,0x2D
5.678515666666667,ch 1 - async serial,0x00
5.678602750000000,ch 1 - async serial,0x00
5.678689875000000,ch 1 - async serial,0x84
5.678777041666667,ch 1 - async serial,0xFE
5.678864125000000,ch 1 - async serial,0xFF
5.678951250000000,ch 1 - async serial,0xFF
5.679038375000000,ch 1 - async serial,0xA8
5.679125458333333,ch 1 - async serial,0x0E
5.679212583333333,ch 1 - async serial,0x00
5.679299666666667,ch 1 - async serial,0x00
5.679386791666666,ch 1 - async serial,0xCE
5.679473916666667,ch 1 - async serial,0x07
5.679561000000000,ch 1 - async serial,0x00
5.679648083333333,ch 1 - async serial,0x00
5.679735208333334,ch 1 - async serial,0x02
5.679822333333333,ch 1 - async serial,0x01
5.679909416666667,ch 1 - async serial,0x03
5.679996541666666,ch 1 - async serial,0x36
5.680083625000000,ch 1 - async serial,0x00
5.680170708333334,ch 1 - async serial,0x00
5.680257791666667,ch 1 - async serial,0x00
5.680344916666667,ch 1 - async serial,0x00
5.680432000000000,ch 1 - async serial,0x00
5.680519166666667,ch 1 - async serial,0x00
5.680606291666667,ch 1 - async serial,0x00
5.680693375000000,ch 1 - async serial,0x00
5.680780458333333,ch 1 - async serial,0x10
5.680867541666666,ch 1 - async serial,0x01
5.680954708333333,ch 1 - async serial,0x66
5.681041833333333,ch 1 - async serial,0x78
5.681239375000000,ch 1 - async serial,0x55
5.681326500000000,ch 1 - async serial,0x15
5.681413625000000,ch 1 - async serial,0x04
5.681500750000000,ch 1 - async serial,0xA9
5.681587875000000,ch 1 - async serial,0x0B
5.681675000000000,ch 1 - async serial,0x09
5.681762125000000,ch 1 - async serial,0x0B
5.681849208333333,ch 1 - async serial,0x00
5.681936333333334,ch 1 - async serial,0x00
5.682023416666667,ch 1 - async serial,0x0D
5.682110541666667,ch 1 - async serial,0x03
5.682197666666666,ch 1 - async serial,0x00
5.682284791666667,ch 1 - async serial,0x03
5.682371916666667,ch 1 - async serial,0x20
5.682459041666666,ch 1 - async serial,0x0F
5.682546166666667,ch 1 - async serial,0x21
5.682633291666667,ch 1 - async serial,0x0F
5.682720458333334,ch 1 - async serial,0x20
5.682807625000000,ch 1 - async serial,0x0F
5.682894750000000,ch 1 - async serial,0xDF
5.682981875000000,ch 1 - async serial,0xA8
6.674553625000000,ch 1 - async serial,0x55
6.674640708333333,ch 1 - async serial,0x0E
6.674727791666666,ch 1 - async serial,0x04
6.674814875000000,ch 1 - async serial,0x66
6.674901958333334,ch 1 - async serial,0x0B
6.674989083333333,ch 1 - async serial,0x03
6.675076166666667,ch 1 - async serial,0x0C
6.675163291666666,ch 1 - async serial,0x00
6.675250416666667,ch 1 - async serial,0x40
6.675337500000000,ch 1 - async serial,0x0E
6.675424583333333,ch 1 - async serial,0x01
6.675511708333334,ch 1 - async serial,0x01
6.675598833333333,ch 1 - async serial,0x8F
6.675685916666667,ch 1 - async serial,0x61
6.675796791666667,ch 1 - async serial,0x55
6.675883875000000,ch 1 - async serial,0x0E
6.675971000000000,ch 1 - async serial,0x04
6.676058041666667,ch 1 - async serial,0x66
6.676145166666666,ch 1 - async serial,0x0B
6.676232291666667,ch 1 - async serial,0x03
6.676319416666667,ch 1 - async serial,0x0D
6.676406541666666,ch 1 - async serial,0x00
6.676493708333333,ch 1 - async serial,0x40
6.676580791666667,ch 1 - async serial,0x0E
6.676667916666666,ch 1 - async serial,0x02
6.676755000000000,ch 1 - async serial,0x00
6.676842166666667,ch 1 - async serial,0x45
6.676929291666666,ch 1 - async serial,0x5E
6.677416833333333,ch 1 - async serial,0x55
6.677503875000000,ch 1 - async serial,0x2C
6.677591000000000,ch 1 - async serial,0x04
6.677678125000000,ch 1 - async serial,0x36
6.677765208333334,ch 1 - async serial,0x0B
6.677852250000000,ch 1 - async serial,0x03
6.677939375000000,ch 1 - async serial,0x0E
6.678026458333333,ch 1 - async serial,0x00
6.678113625000000,ch 1 - async serial,0x40
6.678200708333334,ch 1 - async serial,0x0D
6.678287791666667,ch 1 - async serial,0x02
6.678374875000000,ch 1 - async serial,0x00
6.678462000000000,ch 1 - async serial,0xF3
6.678549041666667,ch 1 - async serial,0x2C
6.678636166666666,ch 1 - async serial,0x00
6.678723291666667,ch 1 - async serial,0x00
6.678810375000000,ch 1 - async serial,0x88
6.678897500000000,ch 1 - async serial,0xFC
6.678984625000000,ch 1 - async serial,0xFF
6.679071750000000,ch 1 - async serial,0xFF
6.679158833333333,ch 1 - async serial,0xA8
6.679245958333333,ch 1 - async serial,0x0E
6.679333041666666,ch 1 - async serial,0x00
6.679420125000000,ch 1 - async serial,0x00
6.679507250000000,ch 1 - async serial,0xD1
6.679594375000000,ch 1 - async serial,0x07
6.679681458333333,ch 1 - async serial,0x00
6.679768583333333,ch 1 - async serial,0x00
6.679855708333333,ch 1 - async serial,0x02
6.679942791666667,ch 1 - async serial,0x01
6.680029916666666,ch 1 - async serial,0x03
6.680117041666667,ch 1 - async serial,0x36
6.680204125000000,ch 1 - async serial,0x00
6.680291208333333,ch 1 - async serial,0x00
6.680378333333334,ch 1 - async serial,0x00
6.680465458333333,ch 1 - async serial,0x00
6.680552625000000,ch 1 - async serial,0x00
6.680639750000000,ch 1 - async serial,0x00
6.680726875000000,ch 1 - async serial,0x00
6.680814000000000,ch 1 - async serial,0x00
6.680901125000000,ch 1 - async serial,0x10
6.680988250000000,ch 1 - async serial,0x01
6.681075375000000,ch 1 - async serial,0x69
6.681162500000000,ch 1 - async serial,0x96
6.681628208333334,ch 1 - async serial,0x55
6.681715291666666,ch 1 - async serial,0x2C
6.681802458333333,ch 1 - async serial,0x04
6.681889541666667,ch 1 - async serial,0x36
6.681976625000000,ch 1 - async serial,0x0B
6.682063750000000,ch 1 - async serial,0x09
6.682150833333333,ch 1 - async serial,0x0F
6.682237875000000,ch 1 - async serial,0x00
6.682324958333333,ch 1 - async serial,0x00
6.682412125000000,ch 1 - async serial,0x0D
6.682499250000000,ch 1 - async serial,0x02
6.682586416666667,ch 1 - async serial,0x00
6.682673500000000,ch 1 - async serial,0xF3
6.682760625000000,ch 1 - async serial,0x2C
6.682847750000000,ch 1 - async serial,0x00
6.682934875000000,ch 1 - async serial,0x00
6.683021958333334,ch 1 - async serial,0x88
6.683109083333333,ch 1 - async serial,0xFC
6.683196208333333,ch 1 - async serial,0xFF
6.683283291666666,ch 1 - async serial,0xFF
6.683370416666667,ch 1 - async serial,0xA8
6.683457500000000,ch 1 - async serial,0x0E
6.683544625000000,ch 1 - async serial,0x00
6.683631750000000,ch 1 - async serial,0x00
6.683718833333334,ch 1 - async serial,0xD1
6.683805958333333,ch 1 - async serial,0x07
6.683893041666667,ch 1 - async serial,0x00
6.683980166666666,ch 1 - async serial,0x00
6.684067250000000,ch 1 - async serial,0x02
6.684154375000000,ch 1 - async serial,0x01
6.684241458333333,ch 1 - async serial,0x03
6.684328541666667,ch 1 - async serial,0x36
6.684415666666666,ch 1 - async serial,0x00
6.684502791666667,ch 1 - async serial,0x00
6.684589916666667,ch 1 - async serial,0x00
6.684677041666666,ch 1 - async serial,0x00
6.684764166666667,ch 1 - async serial,0x00
6.684851250000000,ch 1 - async serial,0x00
6.684938416666666,ch 1 - async serial,0x00
6.685025541666667,ch 1 - async serial,0x00
6.685112625000000,ch 1 - async serial,0x10
6.685199791666666,ch 1 - async serial,0x01
6.685286916666667,ch 1 - async serial,0x30
6.685374041666667,ch 1 - async serial,0x6A
6.685584416666667,ch 1 - async serial,0x55
6.685671541666666,ch 1 - async serial,0x15
6.685758708333333,ch 1 - async serial,0x04
6.685845875000000,ch 1 - async serial,0xA9
6.685933000000000,ch 1 - async serial,0x0B
6.686020083333333,ch 1 - async serial,0x09
6.686107208333333,ch 1 - async serial,0x10
6.686194250000000,ch 1 - async serial,0x00
6.686281375000000,ch 1 - async serial,0x00
6.686368458333333,ch 1 - async serial,0x0D
6.686455583333333,ch 1 - async serial,0x03
6.686542666666667,ch 1 - async serial,0x00
6.686629750000000,ch 1 - async serial,0x03
6.686716916666667,ch 1 - async serial,0x06
6.686804000000000,ch 1 - async serial,0x0F
6.686891083333333,ch 1 - async serial,0x04
6.686978166666667,ch 1 - async serial,0x0F
6.687065291666666,ch 1 - async serial,0x03
6.687152375000000,ch 1 - async serial,0x0F
6.687239500000000,ch 1 - async serial,0x55
6.687326583333333,ch 1 - async serial,0xA4
7.676511666666666,ch 1 - async serial,0x55
7.676598750000000,ch 1 - async serial,0x1D
7.676685833333333,ch 1 - async serial,0x04
7.676772958333333,ch 1 - async serial,0xDF
7.676860083333334,ch 1 - async serial,0x0B
7.676947166666666,ch 1 - async serial,0x02
7.677034291666667,ch 1 - async serial,0x11
7.677121458333334,ch 1 - async serial,0x00
7.677208583333333,ch 1 - async serial,0x40
7.677295708333333,ch 1 - async serial,0x00
7.677382833333334,ch 1 - async serial,0x32
7.677469958333333,ch 1 - async serial,0x13
7.677557083333333,ch 1 - async serial,0x0E
7.677644208333334,ch 1 - async serial,0x30
7.677731291666666,ch 1 - async serial,0x39
7.677818458333333,ch 1 - async serial,0x33
7.677905541666667,ch 1 - async serial,0x58
7.677992666666666,ch 1 - async serial,0x45
7.678079791666667,ch 1 - async serial,0x35
7.678166916666667,ch 1 - async serial,0x39
7.678254041666666,ch 1 - async serial,0x30
7.678341166666667,ch 1 - async serial,0x35
7.678428291666667,ch 1 - async serial,0x34
7.678515416666666,ch 1 - async serial,0x30
7.678602541666667,ch 1 - async serial,0x30
7.678689625000000,ch 1 - async serial,0x53
7.678776750000000,ch 1 - async serial,0x48
7.678863875000000,ch 1 - async serial,0x67
7.678950958333333,ch 1 - async serial,0xFD
7.679433833333333,ch 1 - async serial,0x55
7.679520958333334,ch 1 - async serial,0x2C
7.679608041666667,ch 1 - async serial,0x04
7.679695166666667,ch 1 - async serial,0x36
7.679782250000000,ch 1 - async serial,0x0B
7.679869375000000,ch 1 - async serial,0x03
7.679956500000000,ch 1 - async serial,0x12
7.680043625000000,ch 1 - async serial,0x00
7.680130750000000,ch 1 - async serial,0x40
7.680217916666667,ch 1 - async serial,0x0D
7.680305041666666,ch 1 - async serial,0x02
7.680392166666667,ch 1 - async serial,0x00
7.680479291666667,ch 1 - async serial,0x1E
7.680566416666666,ch 1 - async serial,0x2D
7.680653541666667,ch 1 - async serial,0x00
7.680740666666667,ch 1 - async serial,0x00
7.680827791666666,ch 1 - async serial,0xEC
7.680914958333333,ch 1 - async serial,0xF1
7.681002083333333,ch 1 - async serial,0xFF
7.681089208333334,ch 1 - async serial,0xFF
7.681176333333333,ch 1 - async serial,0xA8
7.681263500000000,ch 1 - async serial,0x0E
7.681350666666667,ch 1 - async serial,0x00
7.681437791666666,ch 1 - async serial,0x00
7.681524875000000,ch 1 - async serial,0xD1
7.681612000000000,ch 1 - async serial,0x07
7.681699083333333,ch 1 - async serial,0x00
7.681786166666667,ch 1 - async serial,0x00
7.681873291666666,ch 1 - async serial,0x02
7.681960458333333,ch 1 - async serial,0x01
7.682047583333333,ch 1 - async serial,0x03
7.682134708333333,ch 1 - async serial,0x36
7.682221833333333,ch 1 - async serial,0x00
7.682308958333333,ch 1 - async serial,0x00
7.682396083333333,ch 1 - async serial,0x00
7.682483250000000,ch 1 - async serial,0x00
7.682570375000000,ch 1 - async serial,0x00
7.682657500000000,ch 1 - async serial,0x00
7.682744583333333,ch 1 - async serial,0x00
7.682831666666667,ch 1 - async serial,0x00
7.682918791666666,ch 1 - async serial,0x10
7.683005916666667,ch 1 - async serial,0x01
7.683093041666667,ch 1 - async serial,0xDC
7.683180125000000,ch 1 - async serial,0xB9
7.683645958333333,ch 1 - async serial,0x55
7.683733083333333,ch 1 - async serial,0x2C
7.683820166666667,ch 1 - async serial,0x04
7.683907250000000,ch 1 - async serial,0x36
7.683994375000000,ch 1 - async serial,0x0B
7.684081500000000,ch 1 - async serial,0x09
7.684168666666666,ch 1 - async serial,0x13
7.684255791666667,ch 1 - async serial,0x00
7.684342958333334,ch 1 - async serial,0x00
7.684430083333333,ch 1 - async serial,0x0D
7.684517208333333,ch 1 - async serial,0x02
7.684604333333334,ch 1 - async serial,0x00
7.684691416666666,ch 1 - async serial,0x1E
7.684778541666667,ch 1 - async serial,0x2D
7.684865666666667,ch 1 - async serial,0x00
7.684952791666666,ch 1 - async serial,0x00
7.685039916666667,ch 1 - async serial,0xEC
7.685127041666667,ch 1 - async serial,0xF1
7.685214208333333,ch 1 - async serial,0xFF
7.685301333333333,ch 1 - async serial,0xFF
7.685388458333334,ch 1 - async serial,0xA8
7.685475583333333,ch 1 - async serial,0x0E
7.685562708333333,ch 1 - async serial,0x00
7.685649833333334,ch 1 - async serial,0x00
7.685737000000000,ch 1 - async serial,0xD1
7.685824083333333,ch 1 - async serial,0x07
7.685911208333334,ch 1 - async serial,0x00
7.685998375000000,ch 1 - async serial,0x00
7.686085500000000,ch 1 - async serial,0x02
7.686172625000000,ch 1 - async serial,0x01
7.686259708333333,ch 1 - async serial,0x03
7.686346833333333,ch 1 - async serial,0x36
7.686433916666667,ch 1 - async serial,0x00
7.686521041666666,ch 1 - async serial,0x00
7.686608125000000,ch 1 - async serial,0x00
7.686695291666667,ch 1 - async serial,0x00
7.686782375000000,ch 1 - async serial,0x00
7.686869541666667,ch 1 - async serial,0x00
7.686956708333334,ch 1 - async serial,0x00
7.687043875000000,ch 1 - async serial,0x00
7.687130958333333,ch 1 - async serial,0x10
7.687218083333334,ch 1 - async serial,0x01
7.687305208333333,ch 1 - async serial,0x85
7.687392333333333,ch 1 - async serial,0x45
7.687589833333333,ch 1 - async serial,0x55
7.687676958333333,ch 1 - async serial,0x15
7.687764083333334,ch 1 - async serial,0x04
7.687851208333333,ch 1 - async serial,0xA9
7.687938333333333,ch 1 - async serial,0x0B
7.688025500000000,ch 1 - async serial,0x09
7.688112625000000,ch 1 - async serial,0x14
7.688199750000000,ch 1 - async serial,0x00
7.688286875000000,ch 1 - async serial,0x00
7.688374000000000,ch 1 - async serial,0x0D
7.688461125000000,ch 1 - async serial,0x03
7.688548291666667,ch 1 - async serial,0x00
7.688635416666667,ch 1 - async serial,0x03
7.688722500000000,ch 1 - async serial,0x06
7.688809625000000,ch 1 - async serial,0x0F
7.688896791666667,ch 1 - async serial,0x04
