Time [s],Value,Parity Error,Framing Error
12.714607541666666,0,,
12.714694250000001,48,,
12.714780916666667,193,,
13.450892708333333,85,,
13.450979374999999,17,,
13.451066041666667,4,,
13.451152750000000,146,,
13.451239416666667,3,,
13.451326083333333,11,,
13.451412749999999,182,,
13.451499416666667,10,,
13.451586125000000,32,,
13.451672791666667,13,,
13.451759458333333,3,,
13.451846124999999,1,,
13.451932791666666,0,,
13.452019500000000,0,,
13.452106166666667,0,,
13.452192833333333,65,,
13.452279500000000,212,,
13.470706583333333,85,,
13.470793250000000,17,,
13.470879916666666,4,,
13.470966583333333,146,,
13.471053291666667,4,,
13.471139958333334,11,,
13.471226625000000,150,,
13.471313291666666,50,,
13.471399958333333,32,,
13.471486625000001,13,,
13.471573333333334,2,,
13.471660000000000,0,,
13.471746666666666,0,,
13.471833333333333,0,,
13.471920000000001,1,,
13.472006708333334,220,,
13.472093375000000,69,,
13.710943125000000,85,,
13.711029833333333,17,,
13.711116499999999,4,,
13.711203166666667,146,,
13.711289833333334,3,,
13.711376500000000,11,,
13.711463208333333,47,,
13.711549874999999,0,,
13.711636541666667,128,,
13.711723208333334,14,,
13.711809875000000,34,,
13.711896583333333,0,,
13.711983249999999,0,,
13.712069916666668,136,,
13.712156583333334,19,,
13.712243250000000,125,,
13.712329958333333,5,,
13.712416624999999,85,,
13.712503291666666,15,,
13.712589958333334,4,,
13.712676625000000,162,,
13.712763291666667,3,,
13.712850000000000,11,,
13.712936666666666,0,,
13.713023333333334,0,,
13.713110000000000,128,,
13.713196666666667,13,,
13.713283375000000,2,,
13.713370041666666,0,,
13.713456708333334,0,,
13.713543375000000,48,,
13.713630041666667,193,,
14.450981333333333,85,,
14.451067999999999,17,,
14.451154708333334,4,,
14.451241375000000,146,,
14.451328041666667,3,,
14.451414708333333,11,,
14.451501374999999,190,,
14.451588083333334,13,,
14.451674750000000,32,,
14.451761416666667,13,,
14.451848083333333,3,,
14.451934749999999,1,,
14.452021458333334,0,,
14.452108125000001,0,,
14.452194791666667,0,,
14.452281458333333,133,,
14.452368125000000,55,,
14.470795208333334,85,,
14.470881875000000,17,,
14.470968541666666,4,,
14.471055208333333,146,,
14.471141916666667,4,,
14.471228583333334,11,,
14.471315250000000,102,,
14.471401916666666,58,,
14.471488583333333,32,,
14.471575291666667,13,,
14.471661958333334,2,,
14.471748625000000,0,,
14.471835291666666,0,,
14.471921958333333,0,,
14.472008666666667,1,,
14.472095333333334,121,,
14.472182000000000,66,,
14.513239875000000,85,,
14.513326541666666,33,,
14.513413208333333,4,,
14.513499875000001,191,,
14.513586541666667,3,,
14.513673250000000,11,,
14.513759916666666,0,,
14.513846583333333,14,,
14.513933249999999,64,,
14.514019916666667,13,,
14.514106625000000,35,,
14.514193291666666,0,,
14.514279958333333,0,,
14.514366624999999,145,,
14.514453291666667,253,,
14.514540000000000,222,,
14.514626666666667,187,,
14.514713333333333,92,,
14.514799999999999,221,,
14.514886666666667,107,,
14.514973375000000,245,,
14.515060041666667,109,,
14.515146708333333,173,,
14.515233374999999,77,,
14.515320041666667,95,,
14.515406750000000,126,,
14.515493416666667,54,,
14.515580083333333,58,,
14.515666749999999,36,,
14.515753416666668,7,,
14.515840083333334,0,,
14.515926791666667,52,,
14.516013458333333,171,,
14.691555958333334,85,,
14.691642625000000,15,,
14.691729291666666,4,,
14.691815958333333,162,,
14.691902666666667,3,,
14.691989333333334,11,,
14.692076000000000,51,,
14.692162666666666,0,,
14.692249333333333,128,,
14.692336041666668,14,,
14.692422708333334,2,,
14.692509375000000,0,,
14.692596041666667,1,,
14.692682708333333,80,,
14.692769416666666,139,,
14.710971125000000,85,,
14.711057791666667,17,,
14.711144458333333,4,,
14.711231124999999,146,,
14.711317791666668,3,,
14.711404500000000,11,,
14.711491166666667,52,,
14.711577833333333,0,,
14.711664499999999,128,,
14.711751166666666,14,,
14.711837875000001,34,,
14.711924541666667,0,,
14.712011208333333,0,,
14.712097875000000,136,,
14.712184541666666,19,,
14.712271250000001,36,,
14.712357916666667,83,,
14.712444583333333,85,,
14.712531250000000,15,,
14.712617916666666,4,,
14.712704625000001,162,,
14.712791291666667,3,,
14.712877958333333,11,,
14.712964625000000,0,,
14.713051291666666,0,,
14.713138000000001,128,,
14.713224666666667,13,,
14.713311333333333,2,,
14.713398000000000,0,,
14.713484666666666,0,,
14.713571333333332,48,,
14.713658041666667,193,,
15.091161500000000,85,,
15.091248166666666,15,,
15.091334874999999,4,,
15.091421541666667,162,,
15.091508208333334,3,,
15.091594875000000,11,,
15.091681541666667,195,,
15.091768249999999,15,,
15.091854916666666,64,,
15.091941583333334,13,,
15.092028250000000,35,,
15.092114916666667,0,,
15.092201625000000,1,,
15.092288291666666,213,,
15.092374958333334,22,,
15.451087333333334,85,,
15.451174041666667,17,,
15.451260708333333,4,,
15.451347374999999,146,,
15.451434041666667,3,,
15.451520708333334,11,,
15.451607416666667,233,,
15.451694083333333,16,,
15.451780749999999,32,,
15.451867416666667,13,,
15.451954083333334,3,,
15.452040791666667,1,,
15.452127458333333,0,,
15.452214124999999,0,,
15.452300791666667,0,,
15.452387458333334,53,,
15.452474166666667,38,,
15.470823208333334,85,,
15.470909875000000,17,,
15.470996541666667,4,,
15.471083208333333,146,,
15.471169916666666,4,,
15.471256583333334,11,,
15.471343250000000,54,,
15.471429916666667,66,,
15.471516583333333,32,,
15.471603291666666,13,,
15.471689958333334,2,,
15.471776625000000,0,,
15.471863291666667,0,,
15.471949958333333,0,,
15.472036666666666,1,,
15.472123333333334,75,,
15.472210000000000,254,,
15.731073000000000,85,,
15.731159666666667,17,,
15.731246375000000,4,,
15.731333041666666,146,,
15.731419708333334,3,,
15.731506375000000,11,,
15.731593041666667,56,,
15.731679750000000,0,,
15.731766416666666,128,,
15.731853083333334,14,,
15.731939750000000,34,,
15.732026416666667,0,,
15.732113125000000,0,,
15.732199791666666,136,,
15.732286458333334,19,,
15.732373125000001,11,,
15.732459791666667,19,,
15.732546458333333,85,,
15.732633166666666,15,,
15.732719833333332,4,,
15.732806500000001,162,,
15.732893166666667,3,,
15.732979875000000,11,,
15.733066541666666,57,,
15.733153208333333,0,,
15.733239875000001,128,,
15.733326541666667,14,,
15.733413208333333,35,,
15.733499916666666,0,,
15.733586583333333,0,,
15.733673250000001,105,,
15.733759916666667,42,,
15.733846583333333,85,,
15.733933291666666,15,,
15.734019958333333,4,,
15.734106625000001,162,,
15.734193291666667,3,,
15.734279958333333,11,,
15.734366666666666,0,,
15.734453333333333,0,,
15.734540000000001,128,,
15.734626666666667,13,,
15.734713333333334,2,,
15.734800041666666,0,,
15.734886708333333,0,,
15.734973374999999,48,,
15.735060041666667,193,,
16.451072041666666,85,,
16.451158750000001,17,,
16.451245416666666,4,,
16.451332083333334,146,,
16.451418749999998,4,,
16.451505416666667,11,,
16.451592083333335,6,,
16.451678791666666,74,,
16.451765458333334,32,,
16.451852124999998,13,,
16.451938791666667,2,,
16.452025458333335,0,,
16.452112166666666,0,,
16.452198833333334,0,,
16.452285499999999,1,,
16.452372166666667,90,,
16.452458833333335,219,,
16.452545541666666,85,,
16.452632208333334,17,,
16.452718874999999,4,,
16.452805541666667,146,,
16.452892208333335,3,,
16.452978916666666,11,,
16.453065583333334,46,,
16.453152249999999,20,,
16.453238916666667,32,,
16.453325583333335,13,,
16.453412291666666,3,,
16.453498958333334,1,,
16.453585624999999,0,,
16.453672291666667,0,,
16.453758958333335,0,,
16.453845666666666,189,,
16.453932333333334,251,,
16.731127083333334,85,,
16.731213749999998,15,,
16.731300416666667,4,,
16.731387083333335,162,,
16.731473749999999,3,,
16.731560458333334,11,,
16.731647124999999,61,,
16.731733791666667,0,,
16.731820458333335,128,,
16.731907124999999,14,,
16.731993833333334,2,,
16.732080499999999,0,,
16.732167166666667,1,,
16.732253833333335,113,,
16.732340499999999,13,,
16.732427208333334,85,,
16.732513874999999,17,,
16.732600541666667,4,,
16.732687208333335,146,,
16.732773874999999,3,,
16.732860541666668,11,,
16.732947249999999,62,,
16.733033916666667,0,,
16.733120583333335,128,,
16.733207250000000,14,,
16.733293916666668,34,,
16.733380624999999,0,,
16.733467291666667,0,,
16.733553958333335,136,,
16.733640625000000,19,,
16.733727291666668,20,,
16.733813999999999,183,,
16.733900666666667,85,,
16.733987333333335,15,,
16.734074000000000,4,,
16.734160666666668,162,,
16.734247374999999,3,,
16.734334041666667,11,,
16.734420708333332,0,,
16.734507375000000,0,,
16.734594041666668,128,,
16.734680749999999,13,,
